season,opponent,result,pace,ppp,oppp,efg,oefg,to,oto,or,oor,ft,oft,LABEL
2014,Oakland,W,72,1.17,0.85,64.5,43.6,25,19.4,38.5,16.2,36.4,32.7,
2014,Syracuse,L,60,0.75,0.96,41.2,38.3,23.4,16.8,29.4,40.5,17.6,25,
2014,UNC-Wilmington,W,69,1.22,0.74,54.6,33.6,23.1,24.6,57.6,37.2,26.1,21.3,
2014,Wake Forest,L,74,0.91,0.99,40,50,23,17.6,48,21.6,14.7,61.1,
2014,Clemson,W,61,1.31,1,62.5,39.6,19.7,16.4,48.3,41,33.9,47.2,
2014,NKU,W,72,1.05,0.84,52.9,37.1,19.5,11.2,26.7,22.7,60.8,24.2,
2014,Richmond,W,72,1.14,1,51.9,52,19.4,23.6,36.1,25.8,68.5,59.2,
2014,Maryland,W,73,1.03,0.87,54.9,44.6,19.3,22.1,31.4,21.6,72.5,35.7,
2014,UNC-G,W,68,1.2,0.74,49.2,43.9,19.2,31,54.8,28.1,39.4,26.5,
2014,Duke,L,68,1.19,1.36,64.4,57.9,19,19,25,53.3,36.5,54.4,
2014,Duke,W,69,1.08,0.96,49.1,46.8,18.9,17.5,44.1,28.2,56.4,19.1,
2014,Pittsburgh,W,71,1.06,1,49.2,43.8,18.3,19.8,41,41.5,41,35.9,
2014,Louisville,W,78,1.19,1.08,56.8,47,18,18,38.7,36.4,64.4,37.3,
2014,Belmont,L,73,1.1,1.14,50,59.4,17.9,22,48.8,23.3,82.8,41.5,
2014,UVA,L,62,0.98,1.22,44.4,55.6,17.7,12.8,41.5,38.9,19.1,53.7,
2014,Michigan State,W,74,1.07,0.88,46.1,41.4,17.5,18.9,39,28.3,41.5,28.1,
2014,Boston College,W,70,1.17,1.01,56.4,55.2,17.1,25.6,29,33.3,54.5,54.2,
2014,Davidson ,W,78,1.1,0.97,50.8,52.2,17.1,25,35.3,30.2,75.8,35.3,
2014,NC State,W,77,1.09,0.91,42.8,42.4,16.9,15.6,47.8,28.6,47.8,39.4,
2014,Miami,L,66,0.87,0.96,34.6,47,16.7,19.7,40.8,29,30.8,52,
2014,NC State,W,65,1.17,1.16,50.8,52.4,16.5,13.8,46.3,37.5,47,50,
2014,Notre Dame,W,67,1.09,0.93,46.7,50.9,16.4,25.4,40.5,31.2,34.4,18.2,
2014,Pittsburgh,L,76,0.99,1.06,44.3,56.7,15.8,19.8,26.2,33.3,52.5,78.8,
2014,Notre Dame,W,64,0.98,0.95,49.1,53.9,15.6,20.3,31.4,20,40.7,23.1,
2014,Iowa State,L,78,1.06,1.09,52.9,53,15.4,17.9,31.6,29.7,21.4,31.8,
2014,Providence,W,65,1.22,1.19,49.3,56.6,13.9,15.5,55.3,32.1,18.3,39.6,
2014,Wake Forest,W,73,1.45,0.99,66.4,54.5,13.8,19.3,41.4,23.3,47.5,40,
2014,UAB,L,66,0.89,0.95,43.6,33.1,13.6,18.1,26.2,44.7,17.5,45.2,
2014,Florida State,W,69,1.18,1.09,53.9,47.4,13.1,11.6,38.9,26.3,31.2,48.3,
2014,Holy Cross,W,70,0.88,0.77,40.8,34.3,12.8,22.7,21.1,20.5,30,51,
2014,Kentucky,W,74,1.1,1.04,50,44.4,12.1,22.9,30.8,46,80.4,79.6,
2014,Virginia Tech,W,60,1,0.94,46.4,43.3,11.7,20.1,28.9,24.1,32.7,46.7,
2014,Texas,L,80,1.04,1.08,45.4,45.8,10,15,32.6,42.5,72.3,45.8,
2014,Georgia Tech,W,69,1.13,0.94,48.4,45.5,8.7,14.5,32.5,15.8,36.5,47.3,
2015,Kentucky,L,67,1.05,1.26,50,63.5,28.5,22.5,58.1,45.8,20,64.6,
2015,Harvard,W,60,1.12,1.09,60.2,42.7,28.4,11.7,46.1,34.3,26.5,36.4,
2015,Florida,W,69,1.08,0.92,51,37.7,27.4,23.1,44.1,43.2,60.8,37.7,
2015,UVA,W,67,1.07,1.01,63.1,49,27,19.5,28,21.9,64.3,38.5,
2015,Louisville,L,67,0.9,1.04,47.5,39.2,25.3,14.6,35.1,41.5,33.3,67.7,
2015,Syracuse,W,80,1.17,1.04,63.4,47.8,25.1,13.8,39.3,24.4,53.6,33.8,
2015,Virginia Tech,W,68,1,0.78,48.3,45.3,24.9,20.5,47.1,10.8,28.8,20.8,
2015,Butler,L,76,0.86,0.97,42.1,36.8,24.8,24.8,33.3,52.7,56.1,40.3,
2015,UNC-G,W,70,1.13,0.8,51.6,40.2,24.2,18.5,55.6,24.4,37.7,46.4,
2015,UAB,W,77,1.16,0.76,55.8,33,23.5,23.5,45.5,34.1,51.7,47.5,
2015,Duke,L,68,1.13,1.23,55.2,53.4,23.4,14.7,37.9,40,22.4,44.1,
2015,Miami,W,71,1.04,0.91,50,48.2,21.3,18.4,33.3,16.2,36.8,26.8,
2015,Boston College,W,67,1.17,1.01,57.8,49.1,20.8,16.3,42.9,21.9,52.9,33.9,
2015,Arkansas,W,78,1.12,1,48.3,43.1,20.6,27,47.2,44.4,61.7,41.5,
2015,UVA,L,64,0.99,1.17,48.2,56.2,20.2,12.4,36.7,25.8,23.2,32.1,
2015,NC State,L,60,0.76,0.96,37.3,41.2,19.9,14.9,28.2,32.5,16.4,28.1,
2015,Ohio State,W,77,1.06,0.96,46.9,41.7,19.4,13,40.9,28.6,50.8,25,
2015,NC Central,W,73,1.04,0.82,45.9,36.6,19.2,19.2,45.7,25,49.2,51.8,
2015,Notre Dame,L,69,1.19,1.31,58.3,64.6,18.9,18.9,41.9,34.8,10.6,66.7,
2015,NC State,W,69,1.18,1.15,60.2,47.7,18.9,14.6,32.1,42.9,42.6,33.3,
2015,Louisville,W,67,1.08,1.06,47,52.5,18,16.5,44.7,28.1,16.4,18.6,
2015,Louisville,W,70,1,0.86,46.6,38.1,17.2,18.6,30.3,34.9,28.8,31.8,
2015,William & Mary,W,71,1.21,0.9,57.4,44.3,16.9,18.3,36.4,17.9,37.7,45.3,
2015,Wake Forest,W,73,1.19,0.97,62.9,45.8,16.4,19.1,25,30.9,37.9,43.3,
2015,Iowa,L,62,0.89,0.97,30.9,35.5,16.2,19.4,49,43.6,25,43.6,
2015,Georgia Tech,W,69,1.17,0.71,57.8,33.6,15.9,26,33.3,36.4,17.2,32.8,
2015,UCLA,W,74,1.06,0.76,47.8,39.8,14.9,31.1,30.9,29,28.4,75,
2015,Duke,L,74,1.08,1.1,47,58.5,13.2,19.1,36.5,30.2,24.1,47.7,
2015,Davidson,W,73,1.23,0.98,52.2,41.2,12.3,13.7,41.9,34,40.6,17.6,
2015,Boston College,W,67,1.21,0.94,53.1,43.4,11.9,10.4,38.2,11.8,24.6,41.5,
2015,Georgia Tech,W,68,1.32,0.89,66.4,43.3,11.8,16.3,28,26.8,18,28.3,
2015,Notre Dame,L,62,1.13,1.15,40,56,11.3,12.9,51.2,21.4,38.5,38,
2015,Robert Morris,W,74,1.39,0.79,53.5,41,10.8,24.2,52.6,30.9,50.7,22.9,
2015,East Carolina,W,77,1.41,0.83,60.7,36.2,10.4,13,48.4,26.5,29.3,27.5,
2015,Clemson,W,61,1.21,0.82,48.4,34,9.8,13.1,44.4,23.3,27,39.6,
2015,Florida State,W,67,1.16,1.1,50,50.8,7.4,14.9,33.3,31.4,46.7,27.9,
2015,Wisconsin,L,60,1.21,1.32,53.6,52.7,6.7,8.4,28.1,38.7,32.1,41.1,
2015,Pittsburgh,L,62,1.23,1.43,52.5,71.9,6.5,8.1,36.4,24,39,22.8,
2016,Louisville,L,71,0.92,1,37.1,47.5,22.6,21.2,38.1,39.5,50,35,
2016,Providence,W,70,1.21,0.94,55.9,45.6,21.3,15.6,46.4,23.7,35.6,40.4,
2016,UVA,L,66,1.13,1.21,56.8,50,19.8,12.2,39.4,36.1,22,34.4,
2016,Boston College,W,66,1.03,0.99,56.7,49.1,19.7,21.2,22.2,24.2,23.1,27.8,
2016,Duke,W,72,1.06,1.01,38.4,47,19.6,8.4,56.2,17.8,31.5,22.4,
2016,Notre Dame,L,67,1.14,1.2,50.9,37.1,19.6,3,42.9,43.5,35.6,57.6,
2016,Maryland,W,78,1.14,1.04,60.5,61,19.2,28.2,33.3,27.6,40.3,18.6,
2016,Syracuse,W,70,1.06,0.99,45.6,45.5,18.4,21.3,46.3,36.4,27.9,41.1,
2016,Davidson,W,82,1.2,0.8,56,40.3,18.4,17.1,38.5,15.9,22.7,19.4,
2016,Syracuse,W,66,1.25,1,56.9,47,18.1,15.1,51.6,37.2,16.9,19.7,
2016,Florida State,W,88,1.2,1.02,54,48.5,18.1,15.9,45,25.6,42.1,50,
2016,Northern Iowa,L,67,1.01,1.07,49.1,51.8,18,9,27.3,16.2,22.4,33.3,
2016,Clemson,W,68,1.19,1.02,53.9,46.2,17.8,19.3,45.5,32.4,21.9,49.1,
2016,Villanova,L,64,1.15,1.2,51.6,66.7,17.1,15.6,43.2,9.1,20.6,35.4,
2016,UVA,W,58,1.05,0.98,54.3,42.9,17.1,17.1,20,41,27.7,4.8,
2016,Wofford,W,71,1.1,0.82,52.4,48.2,17,21.2,35.5,13.9,30.6,8.8,
2016,Kansas State,W,72,1.11,0.97,51.6,46.8,16.6,16.6,37.5,24.4,32.3,30.6,
2016,Pittsburgh,W,72,1.18,0.89,66.7,44,15.2,26.3,4.3,40.4,27.8,19.4,
2016,Pittsburgh,W,67,1.32,1.06,64.3,49.1,15,18,36.4,33.3,32.1,46.3,
2016,Appalachian State,W,74,1.27,0.95,49.3,50.8,14.9,25.7,53.9,33.3,37.5,21.3,
2016,Georgia Tech,W,74,1.16,1.05,52.5,47.7,14.8,12.1,30,21.1,49.1,29.7,
2016,Notre Dame,W,69,1.14,0.69,47.8,35,14.6,24.8,44.2,18.9,27.5,34,
2016,Boston College,W,76,1.18,0.82,58.2,53.9,14.6,30.4,33.3,12.9,32.8,15.4,
2016,Duke,L,69,1.06,1.08,43.6,46.9,14.5,10.2,43.9,28.2,21.4,24.6,
